x,y,z,T,tt
4140,9350,2592.5,1.098125,0.635804654
4080,9390,2592.5,0.52,0.057679654
4100,9370,2592.5,0.42708333,-0.035237016
4120,9370,2592.5,0.48270833,0.020387984
4100,9390,2592.5,0.48,0.017679654
4120,9390,2592.5,0.45,-0.012320346
4140,9370,2592.5,0.87,0.407679654
4160,9370,2592.5,1.0875,0.625179654
4140,9390,2592.5,0.56625,0.103929654
4160,9390,2592.5,0.77875,0.316429654
4060,9410,2592.5,1.45791667,0.995596324
4080,9410,2592.5,0.78729167,0.324971324
4060,9430,2592.5,1.4,0.937679654
4080,9430,2592.5,0.87166667,0.409346324
4100,9410,2592.5,0.54,0.077679654
4120,9410,2592.5,0.57,0.107679654
4100,9430,2592.5,0.555,0.092679654
4120,9430,2592.5,0.56,0.097679654
4140,9410,2592.5,0.4375,-0.024820346
4140,9430,2592.5,0.47625,0.013929654
3980,9470,2577.5,1.3,0.837679654
4000,9470,2577.5,1.38,0.917679654
4000,9450,2592.5,1.26,0.797679654
3980,9470,2592.5,1.31,0.847679654
4000,9470,2592.5,1.24,0.777679654
4020,9470,2577.5,1.52,1.057679654
4020,9470,2592.5,1.22,0.757679654
4040,9470,2592.5,1.36,0.897679654
4060,9450,2592.5,1.38583333,0.923512984
4080,9450,2592.5,0.67458333,0.212262984
4060,9470,2592.5,1.215,0.752679654
4080,9470,2592.5,0.63,0.167679654
4100,9450,2592.5,0.68229167,0.219971324
4120,9450,2592.5,0.55,0.087679654
4100,9470,2592.5,0.67,0.207679654
4120,9470,2592.5,0.4875,0.025179654
4140,9450,2592.5,0.52,0.057679654
3960,9490,2592.5,1.68,1.217679654
3960,9510,2592.5,1.4,0.937679654
3980,9490,2577.5,1.16,0.697679654
4000,9490,2577.5,1.45,0.987679654
3980,9510,2577.5,1.11,0.647679654
4000,9510,2577.5,1.35,0.887679654
3980,9490,2592.5,1.35,0.887679654
4000,9490,2592.5,1.18,0.717679654
3980,9510,2592.5,1.34,0.877679654
4000,9510,2592.5,1.13,0.667679654
4020,9490,2577.5,1.51,1.047679654
4040,9490,2577.5,1.55,1.087679654
4020,9510,2577.5,1.46,0.997679654
4040,9510,2577.5,1.48,1.017679654
4020,9490,2592.5,1.13,0.667679654
4040,9490,2592.5,1.25,0.787679654
4020,9510,2592.5,1.02979167,0.567471324
4040,9510,2592.5,1.04,0.577679654
4060,9510,2577.5,1.13,0.667679654
4060,9490,2592.5,1.07791667,0.615596324
4060,9510,2592.5,0.988125,0.525804654
4080,9510,2592.5,0.7,0.237679654
3920,9550,2592.5,0.484375,0.022054654
3960,9530,2577.5,1.1,0.637679654
3940,9550,2577.5,1.09041667,0.628096324
3960,9550,2577.5,1.05,0.587679654
3940,9530,2592.5,1.11,0.647679654
3960,9530,2592.5,1.29,0.827679654
3940,9550,2592.5,1.0875,0.625179654
3960,9550,2592.5,1.01,0.547679654
3980,9530,2577.5,1.19,0.727679654
4000,9530,2577.5,1.23,0.767679654
3980,9550,2577.5,1.11,0.647679654
4000,9550,2577.5,1.17,0.707679654
3980,9530,2592.5,1.2,0.737679654
4000,9530,2592.5,1.15,0.687679654
3980,9550,2592.5,0.97,0.507679654
4000,9550,2592.5,0.9,0.437679654
4020,9530,2577.5,1.29,0.827679654
4040,9530,2577.5,1.38,0.917679654
4020,9550,2577.5,1.17,0.707679654
4020,9530,2592.5,0.97,0.507679654
4040,9530,2592.5,0.96,0.497679654
4020,9550,2592.5,0.85,0.387679654
4040,9550,2592.5,0.89,0.427679654
4060,9530,2577.5,1.00458333,0.542262984
4060,9530,2592.5,0.93,0.467679654
4080,9530,2592.5,0.7,0.237679654
4060,9550,2592.5,0.74375,0.281429654
4080,9550,2592.5,0.62,0.157679654
3920,9570,2592.5,0.51,0.047679654
3920,9590,2592.5,0.49,0.027679654
3940,9570,2577.5,0.7725,0.310179654
3960,9570,2577.5,1,0.537679654
3940,9590,2577.5,0.52645833,0.064137984
3960,9590,2577.5,0.9575,0.495179654
3940,9570,2592.5,0.84333333,0.381012984
3960,9570,2592.5,1.02,0.557679654
3940,9590,2592.5,0.61583333,0.153512984
3960,9590,2592.5,0.97,0.507679654
3980,9570,2577.5,0.89,0.427679654
4000,9570,2577.5,0.98,0.517679654
