categ,R,G,B,A
EST_PY,53.0655,42.4065,134.946,255.0
HIP,48.9855,68.799,188.2155,255.0
HIP_MIN,1.53,101.1075,225.2415,255.0
LIM_CU,14.841,119.2635,219.0195,255.0
LIX,19.482,136.1445,210.885,255.0
MIX,6.7575,156.4935,207.4425,255.0
OXIDO,7.191,169.9065,193.137,255.0
OXIDO_PY,32.079,179.7495,172.7625,255.0
OxMixSSec,72.5475,187.527,148.1295,255.0
SP,121.9665,190.9695,124.3635,255.0
SP_LIM,165.0615,190.128,106.794,255.0
SSD,202.062,187.425,91.953,255.0
SSEC,236.232,185.028,76.398,255.0
SSEC_LIM,254.388,198.339,52.071,255.0
SULF,245.769,220.8045,34.2465,255.0
SUP,248.9565,250.6905,13.719,255.0
